tag,message
ham,Hey... are you going to quit soon? Xuhui and i working till end of the month 
ham,"No I'm good for the movie, is it ok if I leave in an hourish?"
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
ham,"Hmm well, night night "
ham,Oh k.i think most of wi and nz players unsold.
ham,Why you keeping me away like this
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
ham,I asked you to call him now ok
ham,"Greetings me, ! Consider yourself excused."
ham,"Oh fine, I'll be by tonight"
ham,It's justbeen overa week since we broke up and already our brains are going to mush!
ham,Got meh... When?
ham,I need details about that online job.
ham,THIS IS A LONG FUCKIN SHOWR
ham,Wat time Ì_ finish?
ham,Dont show yourself. How far. Put new pictures up on facebook.
ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
ham,Howz pain?hope u r fine..
ham,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh."
ham,Have you been practising your curtsey?
ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
ham,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*"
ham,Can Ì_ all decide faster cos my sis going home liao..
ham,This pain couldn't have come at a worse time.
ham,Da is good good player.why he is unsold.
ham,Then u go back urself lor...
ham,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?"
ham,"Just sent again. Do you scream and moan in bed, princess?"
ham,Cab is available.they pick up and drop at door steps.
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
ham,Get me out of this dump heap. My mom decided to come to lowes. BORING.
ham,"Aight, let me know when you're gonna be around usf"
ham,Studying. But i.ll be free next weekend.
ham,Be happy there. I will come after noon
ham,I dont want to hear philosophy. Just say what happen
ham,Oooh I got plenty of those!
ham,I'm job profile seems like bpo..
ham,"Cool, what time you think you can get here?"
ham,Ok i go change also...
ham,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
ham,"Hey, iouri gave me your number, I'm wylie, ryan's friend"
ham,I.ll hand her my phone to chat wit u
ham,Dear got train and seat mine lower seat
ham,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want"
ham,Please ask mummy to call father
ham,Gudnite....tc...practice going on
ham,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
ham,Dont let studying stress you out. L8r.
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
ham,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola"
ham,That means get the door
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
ham,Yeah imma come over cause jay wants to do some drugs
ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore
ham,But i'm surprised she still can guess right lor...
ham,Do you know when dad will be back?
ham,IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx
ham,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
ham,When u wana see it then
ham,\HEY KATE
ham,"Cool, text me when you're parked"
ham,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !"
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!
ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
ham,Quite late lar... Ard 12 anyway i wun b drivin...
ham,Just seeing your missed call my dear brother. Do have a gr8 day.
ham,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order"
ham,Prakesh is there know.
ham,Die... Now i have e toot fringe again...
ham,But i haf enuff space got like 4 mb...
ham,Thx. All will be well in a few months
ham,Serious? What like proper tongued her
ham,K:)k:)good:)study well.
ham,"Goodmorning,my grandfather expired..so am on leave today."
ham,If he started searching he will get job in few days.he have great potential and talent.
ham,hanks lotsly!
ham,Have you got Xmas radio times. If not i will get it now
ham,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\"""""
ham,"Fair enough, anything going on?"
ham,WHAT TIME U WRKIN?
ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:)
ham,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc"
ham,That one week leave i put know that time. Why.
ham,I don't think he has spatula hands!
ham,Does she usually take fifteen fucking minutes to respond to a yes or no question
ham,"Mostly sports type..lyk footbl,crckt.."
ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
ham,"Uh, heads up we don't have THAT much left"
ham,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!
ham,We can go 4 e normal pilates after our intro...  
ham,Am I the only one who doesn't stalk profiles?
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
ham,I am in office:)whats the matter..msg me now.i will call you at break:).
ham,"\SYMPTOMS\"" when U are in love: \""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your"""
ham,Not from this campus. Are you in the library?
ham,Have you bookedthe hut? And also your time off? How are you by the way?
ham,26th OF JULY
ham,K.:)do it at evening da:)urgent:)
ham,Omg it could snow here tonite!
ham,Rats. Hey did u ever vote for the next themes?
ham,"Received, understood n acted upon!"
ham,WOT U UP 2 J?
ham,i want to grasp your pretty booty :)
ham,I'm in inside office..still filling forms.don know when they leave me.
ham,Smith waste da.i wanna gayle.
ham,\Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtåÓbraindanceåÓa comp.ofstuff on aphexåÕs ;abel
ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
ham,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up
ham,There is no sense in my foot and penis.
ham,Carlos says we can pick up from him later so yeah we're set
ham,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
ham,Yes fine 
ham,"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"""
ham,I.ll give her once i have it. Plus she said grinule greet you whenever we speak
ham,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..
ham,"Mah b, I'll pick it up tomorrow"
ham,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?
ham,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
ham,"They can try! They can get lost, in fact. Tee hee"
ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola
ham,Good morning princess! Have a great day!
ham,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure"
ham,You know what hook up means right?
ham,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen"
ham,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*
ham,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.
ham,Can come my room but cannot come my house cos my house still messy... Haha...
ham,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..
ham,No..he joined today itself.
ham,Excellent! Are you ready to moan and scream in ecstasy?
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
ham,I hope you know I'm still mad at you.
ham,In sch but neva mind u eat 1st lor..
ham,\Hey j! r u feeling any better
ham,Ok lor...
ham,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around"
ham,Yes watching footie but worried we're going to blow it - Phil Neville?
ham,Wait 2 min..stand at bus stop
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak
ham,K.k.this month kotees birthday know?
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
ham,Ok lor Ì_ reaching then message me.
ham,This single single answers are we fighting? Plus i said am broke and you didnt reply
ham,Lol ... I knew that .... I saw him in the dollar store
ham,Ugh hopefully the asus ppl dont randomly do a reformat.
ham,Will Ì_ b going to esplanade fr home?
ham,Not able to do anything.
ham,Well. Im computerless. Time to make some oreo truffles
ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :)
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
ham,Ok i juz receive..
ham,Glad to see your reply.
ham,Thats cool. How was your day?
ham,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?"
ham,Great to hear you are settling well. So what's happenin wit ola?
ham,R u saying i should re order the slippers cos i had to pay for returning it.
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
ham,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu"
ham,You intrepid duo you! Have a great time and see you both soon. 
ham,Oh ic. I thought you meant mary jane.
ham,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
ham,Nope watching tv at home... Not going out. V bored...
ham,Cold. Dont be sad dear
ham,G.W.R
ham,Eatin my lunch...
ham,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota
ham,how are you? I miss you!
ham,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear
ham,Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/
ham,Neshanth..tel me who r u?
ham,U should have made an appointment
ham,I was gonna ask you lol but i think its at 7
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
ham,Oh...i asked for fun. Haha...take care. Ì_
ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
ham,Which channel:-):-):):-).
ham,"Why is that, princess? I bet the brothas are all chasing you!"
ham,Where are you ? You said you would be here when I woke ... :-(
ham,The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do
ham,So that takes away some money worries
ham,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash
ham,In meeting da. I will call you
ham,I said its okay. Sorry
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
ham,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONåÕT LIKE ME LIKE THAT SO DONåÕT WORRY."
ham,i dnt wnt to tlk wid u
ham,Many more happy returns of the day. I wish you happy birthday.
ham,O. Well uv causes mutations. Sunscreen is like essential thesedays
ham,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!
ham,"Alright if you're sure, let me know when you're leaving"
ham,Sorry me going home first... Daddy come fetch Ì_ later...
ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
ham,"sure, but make sure he knows we ain't smokin yet"
ham,Go fool dont cheat others ok
ham,Near kalainar tv office.thenampet
ham,What happen dear tell me
ham,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
ham,Quite lor. But dun tell him wait he get complacent...
ham,Cramps stopped. Going back to sleep
ham,I'm fine. Hope you are also
ham,I'm thinking that chennai forgot to come for auction..
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
ham,Y de asking like this.
ham,Done it but internet connection v slow and canÛ÷t send it. Will try again later or first thing tomo.
ham,One of best dialogue in cute reltnship..!! \Wen i Die
ham,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. "
ham,Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.
ham,If I die I want u to have all my stuffs.
ham,Now only i reached home. . . I am very tired now. . I will come tomorro
ham,I will see in half an hour
ham,Nite...
ham,Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-)
ham,Yar else i'll thk of all sorts of funny things.
ham,What time should I tell my friend to be around?
ham,"Ok da, i already planned. I wil pick you."
ham,Good evening! this is roger. How are you?
ham,Dunno lei shd b driving lor cos i go sch 1 hr oni.
ham,When/where do I pick you up
ham,No. Thank you. You've been wonderful
ham,"I'm not smoking while people use \wylie smokes too much\"" to justify ruining my shit"""
ham,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed."
ham,R Ì_ comin back for dinner?
ham,So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck
ham,Oh yah... We never cancel leh... Haha 
ham,Idea will soon get converted to live:)
ham,Yo theres no class tmrw right?
ham,"There're some people by mu, I'm at the table by lambda"
ham,Then get some cash together and I'll text jason
ham,"Probably, want to pick up more?"
ham,What time you coming down later? 
ham,Dunno lei... I thk mum lazy to go out... I neva ask her yet...
ham,Nope. Meanwhile she talk say make i greet you.
ham,Mm umma ask vava also to come tell him can play later together
ham,"Right on brah, see you later"
ham,Thanks for loving me so. You rock
ham,What should i eat fo lunch senor
ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.
ham,At home also.
ham,"Nothing really, just making sure everybody's up to speed"
ham,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!
ham,Ugh my leg hurts. Musta overdid it on mon.
ham,"I'm not coming over, do whatever you want"
ham,U in town alone?
ham,"Best line said in Love: . \I will wait till the day I can forget u Or The day u realize that u cannot forget me.\""... Gn"""
ham,Lol its ok I didn't remember til last nite
ham,Yeah get the unlimited
ham,S.s:)i thinl role is like sachin.just standing. Others have to hit.
ham,here is my new address -apples&pairs&all that malarky
ham,Wishing you a wonderful week.
ham,"Dear relieved of westonzoyland, all going to plan this end too!"
ham,"Sure, whenever you show the fuck up &gt;:("
ham,Yes:)here tv is always available in work place..
ham,East coast
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run."
ham,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke
ham,You busy or can I come by at some point and figure out what we're doing tomorrow
ham,Ladies first and genus second k .
ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter
ham,"Hmph. Go head, big baller."
ham,Still chance there. If you search hard you will get it..let have a try :)
ham,Dear we are going to our rubber place
ham,Was playng 9 doors game and gt racing on phone lol
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
ham,Lovely smell on this bus and it ain't tobacco... 
ham,I'm really sorry I lit your hair on fire
ham,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X."
ham,"Machan you go to gym tomorrow,  i wil come late goodnight."
ham,IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO 
ham,Ok... Let u noe when i leave my house.
ham,Just buy a pizza. Meat lovers or supreme. U get to pick.
ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...
ham,Great! How is the office today?
ham,Dont pick up d call when something important is There to tell. Hrishi
ham,What happened in interview?
ham,Dear got bus directly to calicut
ham,No. I dont want to hear anything
ham,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.
ham,I've got it down to a tea. not sure which flavour
ham,Our Prasanth ettans mother passed away last night. Just pray for her and family.
ham,Now press conference da:)
ham,"The word \Checkmate\"" in chess comes from the Persian phrase \""Shah Maat\"" which means; \""the king is dead..\"" Goodmorning.. Have a good day..:)"""
ham,Yes. I come to nyc for audiitions and am trying to relocate.
ham,Erm. I thought the contract ran out the4th of october.
ham,So u wan 2 come for our dinner tonight a not?
ham,"Not yet chikku..going to room nw, i'm in bus.."
ham,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
ham,i see. When we finish we have loads of loans to pay
ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
ham,Where at were hungry too
ham,I wont touch you with out your permission.
ham,What happen dear. Why you silent. I am tensed
ham,I AM AT A PARTY WITH ALEX NICHOLS
ham,"Goodmorning, today i am late for 1hr."
ham,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
ham,Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
ham,ÌÏ collecting ur laptop then going to configure da settings izzit?
ham,Jesus christ bitch I'm trying to give you drugs answer your fucking phone
ham,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife...."
ham,Dip's cell dead. So i m coming with him. U better respond else we shall come back.
ham,Lol! Oops sorry! Have fun. 
ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
ham,I not free today i haf 2 pick my parents up tonite...
ham,Really do hope the work doesnt get stressful. Have a gr8 day.
ham,I to am looking forward to all the sex cuddling.. Only two more sleeps 
ham,Missing you too.pray inshah allah
ham,"Yeah probably, I still gotta check out with leo"
ham,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon
ham,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.
ham,Headin towards busetop
ham,Happy birthday... May u find ur prince charming soon n dun work too hard...
ham,U 2.
ham,"Dad wanted to talk about the apartment so I got a late start, omw now"
ham,Ok... Then r we meeting later?
ham,"sir, you will receive the account no another 1hr time. Sorry for the delay."
ham,No problem. We will be spending a lot of quality time together...
ham,"Just looked it up and addie goes back Monday, sucks to be her"
ham,Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x
ham,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?"
ham,Yes princess! I want to catch you with my big strong hands...
ham,Id have to check but there's only like 1 bowls worth left
ham,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... "
ham, &lt;#&gt;  mins but i had to stop somewhere first.
ham,"Aight, we'll head out in a few"
ham,ÌÏ neva tell me how i noe... I'm not at home in da aft wat... 
ham,I like dis sweater fr mango but no more my size already so irritating.
ham,Can you do online transaction?
ham,"Alright, see you in a bit"
ham,"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?"
ham,"When you get free, call me"
ham,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
ham,O i played smash bros  &lt;#&gt;  religiously.
ham,get ready to moan and scream :)
ham,"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\"""""
ham,I'm working technical support :)voice process.
ham,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice..."
ham,thanks for the temales it was wonderful. Thank. Have a great week.
ham,Aah bless! How's your arm?
ham,Oh great. I.ll disturb him more so that we can talk.
ham,You call times job today ok umma and ask them to speed up
ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
ham,"Like  &lt;#&gt; , same question"
ham,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;
ham,Hey what are you doing. Y no reply pa..
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... "
ham,Yup. Wun believe wat? U really neva c e msg i sent shuhui?
ham,Oic... Then better quickly go bathe n settle down...
ham,I guess it is useless calling u 4 something important.
ham,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.
ham,Just now saw your message.it k da:)
ham,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? 
ham,Have you heard from this week?
ham,Wah lucky man... Then can save money... Hee...
ham,How much r Ì_ willing to pay?
ham,In work now. Going have in few min.
ham,I am waiting machan. Call me once you free.
ham,I absolutely LOVE South Park! I only recently started watching the office.
ham,I not at home now lei...
ham,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)
ham,have got * few things to do. may be in * pub later.
ham,That's y u haf 2 keep me busy...
ham,"It's ok, at least armand's still around"
ham,Kinda. First one gets in at twelve! Aah. Speak tomo
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
ham,Ok... Thanx... Gd nite 2 Ì_ too...
ham,I want snow. It's just freezing and windy.
ham,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-)
ham,Nvm it's ok...
ham,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.
ham,What type of stuff do you sing?
ham,Thought we could go out for dinner. I'll treat you! Seem ok?
ham,I think just yourself Û_Thanks and see you tomo
ham,Where are the garage keys? They aren't on the bookshelf
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
ham,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE
ham,Dont think so. It turns off like randomlly within 5min of opening
ham,Sure! I am driving but will reach my destination soon.
ham,Am slow in using biola's fne
ham,Then ur physics get a-?
ham,"Ok., is any problem to u frm him? Wats matter?"
ham,Does not operate after  &lt;#&gt;  or what
ham,I dont have that much image in class.
ham,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.
ham,WHORE YOU ARE UNBELIEVABLE.
ham,ÌÏ only send me the contents page...
ham,Is that seriously how you spell his name?
ham,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
ham,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.
ham,"Pls send me a comprehensive mail about who i'm paying, when and how much."
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
ham,U WILL SWITCH YOUR FONE ON DAMMIT!!
ham,Is ur lecture over?
ham,Its a great day. Do have yourself a beautiful one.
ham,All e best 4 ur driving tmr :-)
ham,Otherwise had part time job na-tuition..
ham,No pic. Please re-send.
ham,Did u download the fring app?
ham,Let me know if you need anything else. Salad or desert or something... How many beers shall i get?
ham,Hope you are feeling great. Pls fill me in. Abiola
ham,Jus came back fr lunch wif my sis only. U leh?
